题目	答案
如下程序声明了一个二维图形类TwoDShape，从其派生出矩形类Rec。 #include  #include  using namespace std; class TwoDShape{ //二维图形类. char name[20]; public: TwoDShape(char *n="unknown"){ strcpy(name,n); } char *getName(){return name;}=0; }; class Rec:public TwoDShape{ double width,height; public: Rec(double w=0.0,double h=0.0):TwoDShape("rectangle") {width=w;height=h;} double getWidth(){return width;} double getHeight(){return height;} double area(){return width*height;} }; int main(){ TwoDShape *shape; shape=new Rec(2.1,3.0); cout<<"object is "<  getName()<<"\n", cout<<"Area is "<  area()<<"\n"; return 0; } 请将程序补充完整，使程序在运行时输出： object is triangle Area is 6.3	(1) virtual double area()
下列程序的运行结果为____。#include<iostream>using namespace std;class Pet{public:Pet (int x ){name=x;cout<<"How does Pet speak?"<<endl;}~ Pet ( ){cout<<"Pet destruction!"<<endl;}private:int name;};class Dog:public Pet{public:Dog (int x): Pet(x){cout<<"Dog construction!"<<endl;}~ Dog ( ){cout<<"Dog destruction!"<<endl;}};int main( ){Dog dog(10);}	(1) How does Pet speak?Dog construction!Dog destruction!Pet destruction!
有如下程序： #include  using namespace std; class ONE { public : virtual void f(){cout<<"1";} }; class TWO : public ONE { public: TWO(){cout<<"2";} }; class THREE : public TWO { public : virtual void f(){TWO::f();cout<<"3"; } }; int main() { ONE aa,*p; TWO bb; THREE cc; p=&cc; p->f(); return 0; } 执行上面程序的输出是______。	(1) 2213
从一个或多个以前定义的类产生新类的过程称为____________。	(1) 派生
如果不使用多态机制，那么通过基类的指针虽然可以指向派生类对象，但是只能访问从基类继承的成员。下列程序没有使用多态机制，其输出结果是______。 #include  using namespace std; class Base{ public: void print(){cout<<'B';}}; class Derived:public Base{ public: void print(){cout<<'D';}}; int main() { Derived*pd=new Derived(); Base*pb=pd; pb->print(); pd->print(); delete pd; return 0; }	(1) BD
有如下程序： #include  using namespace std; class CA{ public: CA(){cout<< 'A';} }; class CB:private CA{ public: CB(){cout<< 'B';} }; int main(){ CA a; CB b; return 0; } 这个程序的输出结果是______。	(1) AAB
阅读下列程序,程序的运行结果是____。#include <iostream>using namespace std;class Animal{public:void speak() { cout <<"animal language!" << endl; }};class Cat:public Animal{public:void speak() { cout <<"cat language: miaomiao!" << endl; }};int main(){Cat cat;cat.speak();}	(1) cat language: miaomiao!
写出下列程序的执行结果是：__________________。#include <iostream>using namespace std;void main(){int i, count=0, sum=0 ;double average ;int a[] = { 1, 2, 3, 4, 5, 6, 7, 8, 9, 10 } ;for( i=0; i<10; i++ ){if( a[i] % 2 == 0 )continue ;sum += a[ i ] ;count ++ ;}average = sum/count ;cout << "count=" << count << "," << "average=" << average << endl ;}	(1) count=5,average=5
用new动态申请的内存空间，必须用______来释放。	(1) delete
字符串"hello,world"在内存中存放时，占用______个字节的空间。	(1) 12
设在程序中使用如下语句申请了一个对象数组： Point * ptr = new Point[2]； 则在需要释放ptr指向的动态数组对象时，所使用的语句是。	(1) delete[]ptr
说明指向______类型的指针，说明以后，这个指针就可指向各种不同类型的数据对象。	(1) void
请将下列程序按注释部分的要求补充完整。#include <iostream.h>main(){int *p;  //声明一个整型指针变量p//在下画线处，用new关键字动态分配一个int型存储区并初始化为2，并将首地址赋给p______________*p = 10;cout<<*p;  //在下画线处填上语句，用于撤销指针p，释放p指向的存储空间delete p;return 0;}	(1) p=new int(2)
写出下列程序的执行结果是：__________________。#include <cstring>#include <iostream>using namespace std;void main(){char str[][10] = { "vb", "pascal", "c++" }, s[10] ;strcpy( s , ( strcmp( str[0], str[1] ) < 0 ? str[0] : str[1] ) ) ;if( strcmp( str[2], s ) < 0 )strcpy( s, str[2] ) ;cout << s << endl ;}	(1) c++
写出下列程序的执行结果是：__________________。#include <iostream>using namespace std;int f(int [],int);void main(){int a[] = { -1, 3, 5, -7, 9, -11 } ;cout << f( a, 6 ) << endl ;}int f( int a[], int size ){int i, t=1 ;for( i=0 ; i<size; i ++ )if( a[i]>0 )t *= a[i] ;return t;}	(1) 135
写出下列程序的执行结果是：__________________。#include <iostream>using namespace std;struct Employee{ char name[ 20 ] ;char sex ;} ;void fun( Employee *p ){if( (*p).sex == 'f' )cout << (*p).name << endl ;}void main(){Employee emp[5] = { "Liming", 'm', "wang", 'f', "Luwei", 'm' } ;int i ;for( i=0; i<3; i++ )fun( emp+i ) ;}	(1) wang
请将下列程序按注释部分的要求补充完整。#include <iostream.h>main(){int *p;p=new int();//判断动态分配的空间是否成功if  (_______________){cout<<"allocation failure\n";return 1;}//在下画线处填上语句，将p所指向的存储区赋值20*p=20;cout<<*p;//在下画线处填上语句，用于撤销指针p，释放p指向的存储空间delete  p;return 0;}	(1) !p
写出下列程序的执行结果是：__________________。#include <iostream>using namespace std;void main(){int a[9] = { 1, 2, 3, 4, 5, 6, 7, 8, 9 } ;int *p = a , sum = 0 ;for( ; p<a+9; p++ )if( *p % 2 == 0 )sum += *p ;cout << "sum=" << sum << endl ;}	(1) sum=20
写出下列程序的执行结果是：__________________。#include <iostream>using namespace std;int f( int [][3], int, int ) ;void main(){int a[][3] = { 0, 1, 2, 3, 4, 5, 6, 7, 8 } ;cout << f( a, 3, 3 ) << endl ;}int f( int a[][3], int row, int col ){int i, j, t=1 ;for( i=0; i<row; i ++ )for( j=0; j<col; j++ ){a[i][j] ++ ;if( i == j )t *= a[i][j] ;}return t ;}	(1) 45
写出下列程序的执行结果是：__________________。#include <iostream>using namespace std;struct Node{char * s ;Node * q ;} ;void main(){Node a[ ] = { { "Mary", a+1 }, { "Jack", a+2 }, { "Jim", a } } ;Node *p = a ;cout << p->s <<",";cout << p->q->s <<",";cout << p->q->q->s <<",";cout << p->q->q->q->s << endl ;}	(1) Mary,Jack,Jim,Mary
创建对象数组时，对数组的每一个元素都将调用一次构造函数，如果没有显式给出数组元素的初值，则调用缺省构造函数。下列程序涉及到对象数组的创建和单个对象的创建，其输出结果是______。#include <iostream>using namespace std;class Foo{public:Foo(int x){cout<<'A';}Foo(){}};int main(){Foo f[3],g(3);return 0;}	(1) A
指针数组是由______构成的数组。	(1) 指针
写出下列程序的执行结果是：__________________。#include <iostream>using namespace std;void main(){char *str[] = { "c++", "basic", "pascal" } ;char **p ;int i ;p = str ;for( i=0 ; i<3 ; i++ ){cout << *( p+i ) ;if(i!=2)cout<<",";}}	(1) c++,basic,pascal
如果使用数组名作为函数参数，形实结合时，传递的是______。	(1) 数组首地址
写出下列程序的执行结果是：__________________。#include <iostream>using namespace std;void main(){char s1[] = "Fortran" , s2[] = "Foxpro" ;char *p , *q ;p = s1 ;  q = s2 ;while( *p && *q ){if ( *p == *q )cout << *p ;p ++ ;q ++ ;}cout << endl ;}	(1) For
已知数组a中有n个元素，下列语句将数组a中从下标x1开始的k个元素移动到从下标x2开始的k个元素中，其中0<=x1<x2<n，x2+k<n，请将下列语句补充完整。for(int i=x1+k-1;i>=x1;i--)a[______]=a[i];	(1) i+x2-x1
下列程序的输出结果为Object id=0Object id=1请将程序补充完整。#include <iostream>using namespace std;class Point{public:Point(int xx=0,int yy=0){X=xx;Y=yy;countP++;}~Point(){countP--;}int GetX(){return X;}int GetY(){return Y;}static void GetC(){cout<<"Object id="<<countP<<endl;}private:int X,Y;static int countP;};______        //静态数据成员的初始化int main(){Point::GetC();Point A(4,5);A.GetC();return 0;}	(1) int Point::countP=0
请将下列程序按注释部分的要求补充完整。#include <iostream.h>int avar;main(){int avar=25;//在下画线处填上语句，将全局变量avar赋值10________________//在下画线处填上语句，输出全局变量avar的值cout<<"g1obal avar is:"<<::avar<<endl;return 0;}	(1) ::avar=10
写出下列程序的执行结果是：__________________。#include<iostream>using namespace std;int a=10;void main(){int a=20;{int a=30;}cout<<::a<<endl;}	(1) 10
阅读下列程序，写出执行结果：#include<iostream.h>class Sample{ int n;public:Sample(int i){n=i;}friend int add(Sample &s1,Sample &s2);};int add(Sample &s1,Sample &s2){return s1.n+s2.n;}void main(){Sample s1(10),s2(20);cout<<add(s1,s2)<<endl;}执行结果是________________	(1) 30
非成员函数必须声明为类的______才能访问这个类的private成员。	(1) 友元函数
非成员函数应声明为类的______函数才能访问这个类的private成员。（此题写英文单词）	(1) friend
请按下面注释的提示，将类B的构造函数定义补充完整。class A{int a;public:A(int aa=0){a=aa;}};class B:public A{int b;A c;public:// 用aa初始化基类A，用aa+1初始化类对象成员cB(int aa):A(aa),______{b=aa+2;}};	(1) c(aa+1)
在类中，______成员为类的所有对象所共享。（此题写英文单词）	(1) static
写出下列程序的执行结果是：__________________。#include <iostream>using namespace std;#include  <cmath>class Point{public :Point( double x, double y ){a = x;b = y;}friend double d( Point &A , Point &B ){return sqrt((A.a-B.a) * (A.a-B.a) + (A.b-B.b) * (A.b-B.b)) ;}private:double a, b ;};void main(){Point p1( 1, 1 ) ;Point p2( 4, 5 ) ;cout << d( p1,p2 ) << endl ;}	(1) 5
由const修饰的对象称为_____________。	(1) 常对象
若要把类FriendClass定义为类MyClass的友元类，则应该在类MyClass的定义中加入语句______。	(1) friend class FriendClass
静态数据成员为整个类所有，在定义时通过____关键字声明。	(1) static
下列程序的输出结果是______。#include<iostream>using namespace std;class Test{public:Test(){cnt++;}~Test(){cnt--;}static int Count(){return cnt;}private:static int cnt;};int Test::cnt=0;int main(){cout<<Test::Count()<<' ';Test t1,t2;Test*pT3=new Test;Test*pT4=new Test;cout<<Test::Count()<<' ';delete pT4;delete pT3;cout<<Test::Count()<<endl;return 0;}	(1) 0 4 2
写出下列程序的执行结果是：__________________。#include<iostream>using namespace std;int a=0;void main(){int a=1;{int a=2;cout<<a<<endl;}}	(1) 2
写出下列程序的执行结果是：__________________。#include<iostream>using namespace std;int sub( int, int );int a = 1 ;void main(){int m = 1, n = 2, f;f = sub( m, n );f = sub( m, n ) ;cout << a <<","<< f << endl;}int sub( int c, int d ){static int m = 2, n = 5 ;a = ++ a ; c = m ++ ; d = n ++;return c + d ;}	(1) 3,9
若需要把一个函数"void F()；"定义为一个类AB的友元函数，则应在类AB的定义中加入一条语句：______。	(1) friend void F( )
已知有函数f 的定义如下：int f(){static int s = 0;s+=2;return s;}则在某程序中第2次执行函数调用语句f();时，函数f的返回值是______。	(1) 4
在下面程序的横线处填上适当的内容，使程序执行后的输出结果为1/2005。#include <iostream.h>class Date{public:Date(int m=1,int y=0):month(m),year(y){}void Print(){cout<<month<<"/"<<year<<endl;}friend Date operator+(const Date&d1,const Date&d2);private:int month,year;};______ operator +(const Date& d1,const Date&d2){int year,month;year=d1.year+d2.year;month=d1.month+d2.month;year+=(month-1)/12;month=(month-1)%12+1;return Date(month,year);}void main(){Date d1(3,2004),d2,d3(10);d2=d3+d1;d2.Print();}	(1) Date
写出下列程序的执行结果是：__________________。#include <iostream.h>class myclass{int a,b;static int s;public:myclass(int x,int y){a=x;b=y;s++;}void print(){cout<<s;}};int myclass::s=0;void main(){myclass m1(1,2),m2(4,5),m3(6,7);m1.print();m2.print();m3.print();}	(1) 333
执行下列语句后，输出的结果为______。void show(){static int a=3;a++;cout<<a<<" ";}int main(){for(int i=0;i<2;i++)show();}	(1) 4 5
写出下列程序的执行结果是：__________________。#include<iostream>using namespace std;class T{public:T(int x){ a=x; b+=x;};static void display(T c){cout<<"a="<<c.a<<","<<"b="<<c.b<<",";}private:int a;static  int  b;} ;int T::b=5;void main(){T A(3),B(5);T::display(A);B.display(B);}	(1) a=3,b=13,a=5,b=13,
有如下程序：#include<iostream>using namespace std;class pumpkin{public:pumpkin(){++count;}~pumpkin(){--count;}static void total_count(){cout<<count<<"pumpkin(s)"<<endl;}private:static int count;};int pumpkin::count=0;int main(){pumpkin p1[10];pumpkin::total_count();return 0;}这个程序的输出结果是______。	(1) 10pumpkin(s)
将一个函数声明为一个类的友元函数必须使用关键字______。	(1) friend
请将下列程序按注释部分的要求补充完整。#include <iostream.h>int avar=10;main(){//在下画线处填上语句，定义局部变量avar并赋予初始值25______________cout<<"avar is"<<avar<<endl;return 0;}	(1) int avar=25
使用const语句定义一个标识符常量时，则必须对它同时进行______。	(1) 初始化
在类的对象被创建的时候，______函数会被自动调用。	(1) 构造
在C++面向对象程序设计框架中，______是程序的基本组成单元。	(1) 类
假如一个类的名称为MyClass，使用这个类的一个对象初始化该类的另一个对象时，可以调用_______________构造函数来完成此功能。	(1) 复制
设px是指向一个类动态对象的指针变量，则执行"delete px；"语句时，将自动调用该类的______函数。	(1) 析构
有如下定义：class MA{int value;public:MA(int n=0):value(n){}};MA *ta,tb;其中MA类的对象名标识符是______。	(1) tb
在面向对象的程序设计中，将数据和处理数据的操作封装成一个整体就定义了一种事物的类型，称作"类"。类是一种抽象的概念，属于该类的一个实例叫做"______"。	(1) 对象
类A有如下成员函数int A::fun(double x){return (int) x／2；}int A::fun(int x){return x*2；}设a为类A的对象，在主函数中有int s=a．fun(6.0)+a.fun(2)，则执行该语句后，s的值为（   ）。	(1) 7
有如下类声明：class MyClass{int i;private :int j;protected :int k;public :int m,n;};其中，私有成员的数量为______。	(1) 2
例3-10(书上）//3_10.cpp#include <iostream>using namespace std;//把src针的最上面一个盘子移动到dest针上void move(char src, char dest) {cout << src << " --> " << dest << endl;}//把n个盘子从src针移动到dest针，以medium针作为中介void hanoi(int n, char src, char medium, char dest) {if (n == 1)move(src, dest);else {hanoi(n - 1, src, dest, medium);move(src, dest);hanoi(n - 1, medium, src, dest);}}int main() {int m;cout << "Enter the number of diskes: ";cin >> m;cout << "the steps to moving " << m << " diskes:" << endl;hanoi(m,'A','B','C');return 0;}试问：（1）当盘子的个数为5时，hanoi函数被调用了（   ）次？（2）当盘子的个数 为10时，hanoi函数被调用了（   ）次？	(1) 31
在下面横线处填上求两个浮点数之差的cha函数的原型声明、调用方法。#include <iostream>using namespace std；void main( ){float a，b；float cha(float,float);a=12.5；b=6.5；float c=________________    ／／调用函数chacout<<c<<endl；}float cha(float x，float y){float w；w=x-y；return w；}	(1) cha(a,b)
下面程序的输出结果:_________________。#include<iostream>using namespace std;void main(){int num=300;int &ref=num;cout<<ref;ref=ref-100;cout<<" "<<num;num=num-50;cout<<" "<<ref<<endl;}	(1) 300 200 150
写出下列程序的执行结果是：__________________。#include<iostream>using namespace std;void func( int, int, int & );void main(){int x=0 , y=1 , z=2;func( 1 , 2 , x );func( x + y , y , y );func( z , x + y , z );cout << x << "," << y << ","<< z << endl ;}void func( int a , int b , int &c ){b += a ;c = b - a ;}	(1) 2,1,3
已知递归函数f的定义如下：int f(int n){if(n<=1) return 1;  //递归结束情况else return n*f(n-2); //递归}则函数调用语句f(5)的返回值是______。	(1) 15
例3-2  数制转换输入一个8位二进制数，将其转换为十进制数输出。例如：从键盘输入110111012=1×23+1×22+0×21+1×20=1310所以，程序应输出13源代码：#include <iostream>using namespace std;double power (double x, int n); //计算x的n次方int main() {int  value = 0;cout << "Enter an 8 bit binary number  ";for (int i = 7; i >= 0; i--) {char ch;cin >> ch;if (ch == '1')value += static_cast<int>(power(2, i));}cout << "Decimal value is  " << value << endl;return 0;}double power (double x, int n) {double val = 1.0;while (n--)val *= x;return val;}试问：1、运行结果输入01101000，则power函数执行(     )次？2、如果输入00111110，power函数又执行(     )次？	(1) 3
C++中使用__________________关键字说明函数为内联函数。	(1) inline
例3-3（书上）#include<iostream>usingnamespace std;doublearctan(double x) {doublesqr = x * x;doublee = x;doubler = 0;inti = 1;while(e / i > 1e-15) {doublef = e / i;r= (i % 4 == 1) ? r + f : r - f;e= e * sqr;i+= 2;}returnr;}主程序intmain() {doublea = 16.0 * arctan(1/5.0);doubleb = 4.0 * arctan(1/239.0);//注意：因为整数相除结果取整，如果参数写1/5，1/239，结果就都是0cout<< "PI = " << a - b << endl;return0;}试问：（1）执行程序中的arctan()函数时传入实参为1/ 5.0,那么arctan()函数体中while循环的循环体最后一次被执行后，i的值为（     ）？（2）如果传入实参为1/ 500.0，那么arctan()函数体中while循环的循环体最后一次被执行后，i的值又为（    ）？	(1) 21
在面向结构程序设计语言中，______是程序组成的基本单位。	(1) 函数
已知一个函数的原型是：int fn(double x);若要以5.27为实参调用该函数，应使用表达式______。	(1) fn(5.27)
下列程序的输出结果如下：x, y=10,26x, y=10,26x, y=11,25请将程序填充完整#include < iostream>using namespace std;void f2((1)____){int z = x; x = y; y = z;}void main( ){int x = 10, y = 26;cout << "x, y=" << x << "," << y << endl;f2(x,y);cout << "x, y=" << x << "," << y << endl;x++;y--;f2(x,y);cout << "x, y=" << x << "," << y << endl;}	(1) int x,int y
下列程序的运行结果是-1。#include<iostream>using namespace std;int f(int x,int y){int c;if (（1)______________)c = 1;else if (（2)______________)c = 0;elsec = -1;return c;}void main(){int i = 2, j = 3;int p = f((3)______);cout << p << endl;}	(1) x>y
有如下程序：#include<iostream>using namespace std;int fun1(int x) {return ++x;}int fun2(int &x) {return ++x;}int main(){int x=1,y=2;y=fun1(fun2(x));cout<<x<<','<<y;return 0;}程序的输出结果是______。	(1) 2,3
下列程序的输出结果是______。#include<iostream>using namespace std;int main(){int i=5;int &r=i;r=7;cout<<i<<endl;return 0;}	(1) 7
写出下列程序的执行结果是：__________________。#include<iostream>using namespace std;#include<cmath>int f( int ) ;void main(){int i;for( i = 0; i < 3; i ++ ){cout << f( i ) ;if(i!=2)cout<<",";}}int f( int a ){int b = 0 , c = 1;b ++; c++;return int( a + pow( double(b), 2 ) + c );}	(1) 3,4,5
已知递归函数f的定义如下:int f(int n){f (n<=1) return 1; //递归结束情况else return n* f(n-2);} //递归则函数调用语句f(5)的返回值是____。	(1) 15
若有函数定义为：int add(int ml=0，int m2=2，int m3=4){return ml+m2+m3；}在主函数中有int s=add(1)+add(0，1)+add(0，1，2)；则执行此语句后s的值为__________________。	(1) 15
下列程序的输出结果是______。#include <iostream>#include <cstring>using namespace std;void fun(const char *s,char &c){c=s[strlen(s)/2];}int main(){char str[]="ABCDE";char ch=str[1];fun(str,ch);cout<<ch;return 0;}	(1) C
写出下列程序的执行结果是：__________________。#include<iostream>using namespace std;void func( int, int, int * ) ;void main(){int x, y, z;func( 5, 6, &x );func( 7, x, &y );func( x, y, &z );cout << x << "," << y << ","<< z << endl;}void func( int a , int b , int *c ){b += a ;*c = b - a ;}	(1) 6,6,6
写出下面程序执行后的运行结果。#include< iostream>using namespace std;#define DEBUGvoid main(){int a = 20, b =10, c;c = a / b;#ifdef DEBUGcout << a << "/" << b << "=";#endifcout << c;}	(1) 20/10=2
例3-4（书上）#include <iostream>using namespace std;//判断n是否为回文数bool symm(unsigned n) {unsigned i = n;unsigned m = 0;while (i > 0) {m = m * 10 + i % 10;i /= 10;}return m == n;}int main() {for (unsigned m = 11; m < 1000; m++)if (symm(m) && symm(m * m) && symm(m * m * m)) {cout << "m = " << m;cout << "  m * m = " << m * m;cout << "  m * m * m = " << m * m * m << endl;}return 0;}试问：（1）在symm（）函数中，当输入参数为523时，while循环体内容执行（    ）次；（2）在symm（）函数中，当输入参数为1523时，while循环体内容执行（    ）次；	(1) 3
写出下列程序的执行结果是：__________________。#include<iostream>using namespace std;void sort( double x,double y );void sort( double x,double y,double z );void main(){sort( 0.5, 30.8, 5.9 );}void sort( double x,double y,double z ){double t;if( y<z ) { t = y; y = z; z = t; }if( x<z ) { t = x; x = z; z = t; }if( x<y ) { t = x; x = y ;y = t; }cout << x <<","<< y <<","<< z<< endl;}	(1) 30.8,5.9,0.5
写出下列程序的执行结果是：__________________。#include<iostream>using namespace std;int f2( int, int );int f1( int a , int b ){int c ;a += a ; b += b ;c = f2( a+b , b+1 );return c;}int f2( int a , int b ){int c ;c = b % 2 ;return a + c;}void main(){int a = 3 , b = 4;cout << f1( a , b ) << endl;}	(1) 15
写出下列程序的执行结果是：__________________。#include<iostream>using namespace std;void func(int a, int b, int c = 3, int d = 4 );void main(){func( 12, 12 );}void func( int a, int b, int c, int d ){cout<<a<<","<<b<<","<<c<<","<<d<< endl;}	(1) 12,12,3,4
执行下列程序段以后程序的输出是______。void add(int &a){a++;}int main(){int b=3;add(b);cout<<b<<endl;}	(1) 4
C++程序必须有且只有一个主函数，其函数名为____________。	(1) main
阅读下列程序,并写出输出结果。#include<iostream>using namespace std;int min(int a,int b){return a<b ? a : b;}int min(int a,int b,int c){int t = min(a,b);return  min(t,c);}int min(int a,int b,int c,int d){int t1 = min(a,b);int t2 = min(c,d);return min(t1,t2);}void main(){cout << min(2,3,4) << endl;cout << min(4,3,5,7)<< endl;}	(1) 23
写出下列程序的执行结果是：__________________。#include<iostream>using namespace std;int f1( int a, int b ){return a + b ;}int f2( int a, int b ){return a - b ;}int f3( int( *t )( int, int ), int a, int b ){return ( *t )( a, b ) ;}void main(){int ( *p )( int, int );p = f1 ;cout << f3( p, 4, 8 ) <<",";p = f2 ;cout << f3( p, 8, 4 );}	(1) 12,4
若下面程序运行时输出结果为l,A,10.12,B,3.5请将程序补充完整。#include <iostream>using namespace std;int main(){void test(int,char,double ______);test(1,'A',10.1);test(2,'B');return 0;}void test(int a,char b,double c){cout<<a<<','<<b<<','<<c<<endl;}	(1) c=3.5
写出下列程序的执行结果是：__________________。#include<iostream>using namespace std;void func( int *, int *, int *& ) ;void main(){int a=10, b=20;int *p=&a, *q=&b;func( p, q, p );cout << "*p=" << *p << ",*q=" << *q << endl;}void func( int *t1 , int *t2 , int *& rt ){*t1 += 5 ;  *t2 += 5 ;rt = t1 ;*rt += 5 ;}	(1) *p=20,*q=25
例3-9（书上）#include <iostream>using namespace std;//计算从n个人里选k个人的组合数int comm(int n, int k) {if (k > n)return 0;else if (n == k || k == 0)return 1;elsereturn comm(n - 1, k) + comm(n - 1, k - 1);}int main() {int n, k;cout << "Please enter two integers n and k: ";cin >> n >> k;cout << "C(n, k) = " << comm(n, k) << endl;return 0;}试问：（1）comm函数输入n=9，k=5时的返回值是（   ）？（2）输入n=7，k=3时的返回值是（     ）？	(1) 126
写出下列程序的执行结果是：__________________。#include<iostream>using namespace std;int age( int n ){int f;if( n == 1 )f = 10 ;elsef = age( n-1 ) + 2;return f ;}void main(){cout<<"age:"<<age(5)<<endl;}	(1) age:18
当使用关键字______作为函数返回类型时，该函数不返回任何值。	(1) void
写出下列程序的执行结果是：__________________。#include<iostream>using namespace std;void sort( double x,double y );void sort( double x,double y,double z );void main(){sort( 5.6, 79 );}void sort(double x,double y){if ( x>y )cout << x <<","<< y << endl;elsecout << y << "," << x << endl;}	(1) 79,5.6
在下划线处填上适当字句,完成求最大值函数模板的定义。#include <iostream>using namespace std;template <typename T>T Max(T x, T y){return(x>y ? x : y);}（1）__________T Max(T x, T y, T z){T t=Max(x,y);return(Max(t,z));}void main(){int x;double y;x = Max(5, 6);y = Max(12.3, 3.4, 7.8);cout<<"x=" << x<<"y="<<y<<endl;}	(1) template <typename T>
阅读下列程序，写出执行结果。#include<iostream.h>int add(int x,int y){return x+y+1;}double add(double x,double y){return x+y-1;}void main(){int a=2,b=4;double c=2.6,d=7.4;cout<<add(a,b)<<","<<add(c,d)<<endl;}执行结果是________________。	(1) 7,9
在下面程序下划线处填上适当内容,使程序执行结果为:200--100#include <iostream>using namespace std;template (1)_________T f(T x, T y){if (sizeof(T) == (2)______)return x + y;elsereturn x*y;}void main() {cout << f(10, 20) << "--" << f(45.5, 54.5) << endl;}	(1) <class T>
#include <iostream.h>int add(int a,int b);int main(){int x,y,sum;cout<<"Enter two numbers："<<'\n';//在下画线处填上语句，完成用cin读入x和y（先输入x，后输入y）_______________sum=add(x,y);cout<<"The sum is:"<<sum<<'\n';return 0;}int add(int a,int b){return a+b;}	(1) cin>>x>>y
写出下列程序的执行结果是：__________________。#include<iostream>using namespace std;void f ( int&n );void main(){int a = 1 ;f( a );}void f ( int& n ){cout<<n++;}	(1) 1
写出下列程序的执行结果是：__________________。#include<iostream>using namespace std;void func( int * p, int * q, int *& x) ;void main(){int a=10, b=20;int *p=&a, *q=&b;func( p, q, p );}void func( int *t1 , int *t2 , int *& rt ){*t1 += 5 ;  *t2 += 5 ;rt = t1 ;*rt += 5 ;cout << "*t1=" << *t1 << ",*t2=" << *t2<< ",*rt=" << *rt << endl;}	(1) *t1=20,*t2=25,*rt=20
下列程序的输出结果如下：x, y=10,26x, y=26,26x, y=25,25请将程序填充完整#include < iostream>using namespace std;void f2((1)____){int z = x; x = y; y = z;}void main(){int x = 10, y = 26;cout << "x, y=" << x << "," << y << endl;f2(x,y);cout << "x, y=" << x << "," << y << endl;x++;y--;f2(x,y);cout << "x, y=" << x << "," << y << endl;}	(1) int &x,int y
下列程序的输出结果如下：x, y=10,26x, y=26,10x, y=9,27请将程序填充完整#include < iostream>using namespace std;void f2(（1）________){int z = x; x = y; y = z;}void main(){int x = 10, y = 26;cout << "x, y=" << x << "," << y << endl;f2(x,y);cout << "x, y=" << x << "," << y << endl;x++;y--;f2(x,y);cout << "x, y=" << x << "," << y << endl;}	(1) int &x,int &y
请将下列程序按注释部分的要求补充完整。# include <iostream.h>void main(){int x=25;//在画线处填上语句，将变量x的值以八进制输出（不能换行）______________________________}	(1) cout<<oct<<x
已知数组a中的元素个数为n，下列语句的作用是将下标为i的元素移动到下标为i-1的单元，其中1<=i<n。例如，当n=4，a中原有的数据为1，2，3，4时，则移动后a中元素变为2，3，4，4。请将语句补充完整：for(int i=0;i<n-1;i++) a[i]=a[______];	(1) i+1
C++中只有两个逻辑常量：true和______。	(1) false
下面程序的运行结果是____。#include <iostream>using namespace std;struct KeyWord{char Key[20];int ID;}kw[]={"void",1,"char",2,"int",3,"float",4,"double",5};main(){cout<<kw[3].Key[0]<<','<<kw[3].ID;}	(1) f,4
#include <iostream>using namespace std;struct country{int num;char name[10];}x[5]={1,"China",2,"USA",3,"France",4, "England",5, "Spanish"};void main(){struct country *p;p=x+2;cout<<p->num<<(*p).name[2]<<endl;}	(1) 3a
运行下列程序,输出结果是____。#include <iostream>using namespace std;enum opt{ONE,TWO,THREE,FOUR,FIVE,SIX,SEVEN}op;int main(void){cout<<ONE;cout<<TWO;cout<<SIX;return 0;}	(1) 015
#include <iostream>using namespace std;void main(){int a, b, c, t;cout << "a b c=";cin >> a >> b >> c;if(a>b){t=a;a=b;b=t;}if(a>c){t=a;a=c;c=t;}if(b>c){t=b;b=c;c=t;}cout<< a << ","<< b << "," << c << endl;}以上程序运行时输入3 1 2，如下： a b c=:3 1 2 则程序的执行结果是：__________________。	(1) 1,2,3
下列语句段的输出结果是______。int k=1,n=10,m=1;while(k<=n){m*=2;n--;}cout<<m<<endl;	(1) 1024
表达式cout<<'\n'还可以表示为______。	(1) cout<<endl
运行下列程序,输出结果是____。#include <iostream>#include<string>using namespace std;struct abc{char str[10];float v;};abc fun(abc x,abc y){if (strcmp(x.str,y.str)>0) return x;else return y;}void main(){abc a={"Zhao",90},b={"Sun",78},c;c=fun(a,b);cout<<c.str<<','<<c.v<<endl;}	(1) Zhao,90
写出下列程序的执行结果是：__________________。#include  <iostream>using namespace std;void main(){int i = 1 , j = 5;do {i++; j--;if ( i>3 )break;} while ( j>0 );cout << "i=" << i <<","<< "j=" << j << endl;}	(1) i=4,j=2
执行下面语句段后输出结果是______。int k=1,n=10,m=1;while(k<=n){m*=2;n--;k++;}cout<<m<<endl;	(1) 32
#include  using namespace std;void main(){double x,y,b;cout << "please input x y:";cin >> x >> y;b = ( -2<=x ) && ( x<=2 ) && ( -2<=y ) && ( y<=2 );cout << b << endl;}以上程序运行时输入1 1，如下：please input x y:1 1则程序的执行结果是：__________________。	(1) 1
运行下列程序,输出结果是____。#include <iostream>using namespace std;struct contry{int num;char name[20];}x[5]={1,"China",2,"USA",3,"France",4,"Englan",5,"Spanish"};main(){int i;for (i=3;i<5;i++)cout<<x[i].num<<x[i].name[0]<<endl;}	(1) 4E5S
执行下列代码 cout <<″Hex：″<< hex << 255； 程序的输出结果为____________。	(1) Hex:ff
